institute_type,department,program,academic_year,semester,course_title,course_type,topics,tools_technologies,programming_languages,math_foundation,bloom_level,credits,project_required,generation_method,is_synthetic
IIT,DS,B.Tech,2024-2025,3,Applied Transformers,Core,Transformers;SQL;Normalization;Visualization;Data Pipelines;Trees,OpenCV;Pandas;Git,C++,Logic,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,4,Introduction to Deployment,Core,Deployment;Arrays;CNN,OpenCV;NLTK,C++,Statistics,Analyze,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2020-2021,4,Foundations of Linked Lists,Core,Linked Lists;Data Pipelines;Indexing,HuggingFace;C++;SQL,Java,Logic,Understand,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,1,Applied Normalization,Core,Normalization;Clustering;Image Processing;Classification;Linked Lists;Dynamic Programming,Scikit-learn;SQL;NLTK,Java,Linear Algebra,Apply,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,5,Introduction to Image Processing,Core,Image Processing;Cloud Computing;Visualization,OpenCV,Java,Basic Math,Create,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,7,Advanced Dynamic Programming,Elective,Dynamic Programming;CNN;SQL;Regression;Image Processing;Tokenization,Pandas,C++,Logic,Create,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,3,Advanced Clustering,Core,Clustering;Neural Networks;Classification;RNN;HDFS;Trees,Pandas;TensorFlow,Java,Statistics,Understand,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,4,Advanced Classification,Elective,Classification;RNN;CNN;Arrays;Deployment;HDFS,Java;NLTK;HuggingFace,C++,Logic,Analyze,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,8,Applied CNN,Core,CNN;Neural Networks;Transformers;Embeddings;Tokenization,Java;HuggingFace,Java,Probability,Create,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,4,Applied Arrays,Core,Arrays;Neural Networks;Image Processing;Cloud Computing,NLTK;PyTorch;Scikit-learn,Java,Logic,Apply,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,6,Advanced Deployment,Elective,Deployment;Tokenization;Visualization;HDFS;Normalization,NLTK,C++,Logic,Understand,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,2,Foundations of Deployment,Core,Deployment;Arrays;Indexing,Pandas,C++,Linear Algebra,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,8,Applied Arrays,Core,Arrays;Deployment;Image Processing;EDA;Indexing;Visualization,Git,Python,Basic Math,Create,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,2,Foundations of Clustering,Elective,Clustering;Classification;Spark;Embeddings,Pandas;TensorFlow,Java,Statistics,Apply,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,5,Introduction to HDFS,Core,HDFS;Deployment;Linked Lists,PyTorch,Python,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,7,Introduction to Cloud Computing,Elective,Cloud Computing;Graphs;Embeddings;Linked Lists;Clustering,Spark,C++,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,1,Foundations of RNN,Elective,RNN;Arrays;Classification;Cloud Computing,HuggingFace,C++,Logic,Apply,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,7,Foundations of SQL,Elective,SQL;Deployment;Visualization;Dynamic Programming;EDA,Java;Git;NLTK,C++,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,7,Introduction to Arrays,Core,Arrays;HDFS;Neural Networks;Normalization;Tokenization,TensorFlow,Python,Logic,Create,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,5,Introduction to EDA,Elective,EDA;Trees;Neural Networks;Dynamic Programming,NLTK;HuggingFace,Java,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,8,Introduction to Deployment,Core,Deployment;Neural Networks;Graphs;Dynamic Programming;Trees,PyTorch,C++,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,6,Introduction to Arrays,Core,Arrays;CNN;Indexing;SQL;Trees;Image Processing,AWS,C++,Probability,Analyze,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,3,Applied Regression,Core,Regression;Indexing;Neural Networks,Scikit-learn;Docker,Python,Basic Math,Create,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,4,Introduction to Graphs,Core,Graphs;Dynamic Programming;CNN;Arrays;SQL;RNN,PyTorch;HuggingFace;TensorFlow,Java,Probability,Apply,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,3,Introduction to RNN,Elective,RNN;CNN;EDA;HDFS;Tokenization;Cloud Computing,TensorFlow,C++,Logic,Apply,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,3,Foundations of Visualization,Elective,Visualization;Normalization;EDA,Docker,Python,Statistics,Apply,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,4,Introduction to Data Pipelines,Elective,Data Pipelines;Dynamic Programming;EDA;Indexing;SQL,Docker,Python,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,2,Introduction to Deployment,Elective,Deployment;Clustering;Data Pipelines,TensorFlow;Python;OpenCV,Python,Statistics,Understand,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,5,Introduction to Embeddings,Core,Embeddings;Visualization;Image Processing;Cloud Computing,AWS;SQL;Docker,Java,Discrete Math,Create,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,7,Introduction to Graphs,Elective,Graphs;Visualization;Dynamic Programming,Scikit-learn;TensorFlow,Java,Discrete Math,Create,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,8,Foundations of Trees,Core,Trees;CNN;Linked Lists;EDA;Graphs,Pandas,Python,Linear Algebra,Apply,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,6,Advanced Normalization,Elective,Normalization;Clustering;SQL;HDFS;Regression;Data Pipelines,OpenCV;PyTorch;Pandas,Python,Statistics,Create,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,4,Applied Neural Networks,Core,Neural Networks;Deployment;EDA;Trees,Java;HuggingFace;Git,Java,Discrete Math,Analyze,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,8,Applied Spark,Core,Spark;SQL;Cloud Computing;Graphs;Transformers,Pandas;Docker,Python,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,5,Advanced Regression,Elective,Regression;Transformers;EDA,Git,Java,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,3,Applied Tokenization,Core,Tokenization;CNN;Dynamic Programming;Regression,Pandas;Docker,Java,Linear Algebra,Apply,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,8,Applied Data Pipelines,Core,Data Pipelines;Tokenization;Indexing;Normalization;Visualization;Regression,AWS,Java,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,8,Introduction to Image Processing,Core,Image Processing;Embeddings;Graphs;Cloud Computing;EDA;Neural Networks,Pandas;TensorFlow;Git,Java,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,1,Applied Neural Networks,Elective,Neural Networks;Transformers;Trees;Normalization;Graphs;Clustering,HuggingFace,C++,Logic,Apply,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,4,Applied Cloud Computing,Elective,Cloud Computing;Transformers;Image Processing,AWS;Git,Python,Probability,Understand,3,No,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,7,Applied Neural Networks,Core,Neural Networks;HDFS;Dynamic Programming,Pandas;Python;SQL,Python,Basic Math,Create,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,5,Introduction to SQL,Elective,SQL;Normalization;Trees;HDFS;EDA;Deployment,NLTK;Scikit-learn;Spark,Python,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2021-2022,6,Applied Image Processing,Elective,Image Processing;SQL;Classification,Pandas;SQL,Java,Logic,Apply,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,8,Introduction to Data Pipelines,Core,Data Pipelines;Deployment;Linked Lists;Graphs;HDFS,C++;Java,Java,Linear Algebra,Apply,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,3,Advanced Trees,Elective,Trees;HDFS;Transformers;Neural Networks;Data Pipelines,Python;C++;PyTorch,Python,Basic Math,Understand,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,1,Foundations of Tokenization,Core,Tokenization;Trees;Dynamic Programming;Cloud Computing,Git,Python,Probability,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,3,Advanced Trees,Core,Trees;Clustering;SQL;Deployment;Graphs;HDFS,TensorFlow;Scikit-learn,C++,Logic,Understand,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,3,Advanced Transformers,Core,Transformers;Visualization;Classification;HDFS;Dynamic Programming;Indexing,OpenCV;Docker;SQL,Python,Basic Math,Create,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,6,Applied Clustering,Core,Clustering;Neural Networks;HDFS;Trees,Git,Python,Probability,Apply,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,4,Foundations of CNN,Core,CNN;HDFS;Linked Lists;Clustering;Tokenization;SQL,SQL,Java,Probability,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,7,Foundations of Image Processing,Elective,Image Processing;Data Pipelines;Regression;Deployment;Tokenization,C++,C++,Discrete Math,Understand,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,5,Foundations of Indexing,Core,Indexing;EDA;SQL;Trees;HDFS;Image Processing,AWS;Python;Scikit-learn,Python,Linear Algebra,Analyze,4,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,2,Introduction to EDA,Core,EDA;Indexing;Visualization;Clustering;Linked Lists,Java,Java,Basic Math,Apply,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,3,Applied Regression,Core,Regression;Tokenization;Transformers,Git;HuggingFace;NLTK,Python,Probability,Understand,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,7,Foundations of Embeddings,Elective,Embeddings;Trees;Neural Networks;EDA;Cloud Computing,Java;Docker;Pandas,Python,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2020-2021,2,Foundations of Clustering,Elective,Clustering;Visualization;Embeddings,C++,Java,Statistics,Apply,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,1,Foundations of Clustering,Core,Clustering;RNN;Deployment;Indexing;Visualization;Neural Networks,AWS,C++,Logic,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,8,Applied Deployment,Core,Deployment;CNN;RNN;Trees;Image Processing,C++;TensorFlow,Java,Probability,Create,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,4,Applied Arrays,Core,Arrays;Indexing;Clustering;Image Processing,OpenCV;Pandas,Python,Statistics,Analyze,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,4,Applied Tokenization,Elective,Tokenization;Linked Lists;Dynamic Programming;Neural Networks;Trees;Visualization,Spark,Python,Discrete Math,Understand,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,7,Introduction to Cloud Computing,Elective,Cloud Computing;Linked Lists;Indexing,Python;SQL;Scikit-learn,Python,Probability,Create,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,2,Introduction to Dynamic Programming,Elective,Dynamic Programming;Deployment;Cloud Computing;Graphs,Java,Java,Discrete Math,Analyze,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,5,Foundations of Neural Networks,Core,Neural Networks;Graphs;Trees;Regression;CNN;Spark,SQL,Java,Statistics,Understand,6,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,5,Advanced Arrays,Core,Arrays;SQL;Normalization;Image Processing,Git;SQL;Java,C++,Discrete Math,Apply,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,7,Introduction to Data Pipelines,Core,Data Pipelines;HDFS;Trees;Cloud Computing;Neural Networks,C++,C++,Probability,Understand,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,1,Advanced Cloud Computing,Elective,Cloud Computing;Indexing;Visualization;SQL,C++;PyTorch,C++,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,3,Foundations of Spark,Core,Spark;Clustering;HDFS,Docker;PyTorch,Java,Statistics,Apply,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,4,Applied SQL,Elective,SQL;EDA;Transformers,Git;HuggingFace,Java,Linear Algebra,Understand,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,4,Advanced Deployment,Core,Deployment;Neural Networks;Linked Lists,Git;TensorFlow,C++,Basic Math,Apply,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,1,Applied Cloud Computing,Core,Cloud Computing;SQL;Transformers;Regression,SQL,Python,Basic Math,Analyze,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,3,Advanced Tokenization,Core,Tokenization;Image Processing;CNN;Regression,C++;Java,Python,Statistics,Understand,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,4,Advanced RNN,Core,RNN;EDA;Regression;Linked Lists,Python,Python,Logic,Analyze,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,7,Introduction to RNN,Elective,RNN;CNN;Dynamic Programming,NLTK,C++,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,3,Foundations of CNN,Core,CNN;Visualization;EDA;Deployment;Dynamic Programming;Regression,C++;NLTK;AWS,Python,Probability,Apply,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,2,Applied Dynamic Programming,Elective,Dynamic Programming;RNN;Trees;Clustering;Transformers;Visualization,OpenCV,C++,Probability,Apply,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2023-2024,2,Introduction to Neural Networks,Elective,Neural Networks;Graphs;Visualization;Arrays;Linked Lists,Docker;NLTK,Java,Probability,Create,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,8,Foundations of Regression,Elective,Regression;Normalization;Trees;Linked Lists,C++;TensorFlow,C++,Statistics,Apply,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2018-2019,2,Foundations of Spark,Elective,Spark;Tokenization;EDA;Arrays;Indexing,Python;AWS;PyTorch,Python,Linear Algebra,Apply,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,5,Applied CNN,Core,CNN;Clustering;Graphs;Linked Lists;SQL,Git;Pandas;Docker,Java,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,8,Introduction to Graphs,Elective,Graphs;Arrays;Classification;Regression,Scikit-learn;Java;Docker,Java,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,7,Applied Transformers,Core,Transformers;SQL;Regression;Normalization,Scikit-learn,Java,Logic,Understand,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2024-2025,2,Foundations of Data Pipelines,Elective,Data Pipelines;Transformers;Image Processing,HuggingFace;AWS,Python,Statistics,Create,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,8,Advanced Trees,Core,Trees;SQL;EDA;Linked Lists;Embeddings,Spark;Git;HuggingFace,Java,Linear Algebra,Apply,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,4,Applied Linked Lists,Elective,Linked Lists;Indexing;Trees;Data Pipelines,SQL;Pandas,Python,Discrete Math,Understand,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,7,Introduction to Neural Networks,Core,Neural Networks;Embeddings;Normalization;Arrays;EDA,AWS;Git;HuggingFace,C++,Logic,Understand,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,2,Advanced Image Processing,Elective,Image Processing;Transformers;Indexing;Neural Networks;SQL,Docker;AWS;Pandas,Java,Linear Algebra,Create,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2021-2022,6,Applied Linked Lists,Elective,Linked Lists;Visualization;Tokenization;Neural Networks,C++;TensorFlow,Python,Basic Math,Understand,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,5,Introduction to Deployment,Elective,Deployment;RNN;Neural Networks;Indexing;Spark;Trees,Docker,C++,Logic,Apply,3,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2020-2021,7,Advanced Deployment,Core,Deployment;Embeddings;Cloud Computing;Arrays,SQL,Java,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,5,Introduction to Normalization,Core,Normalization;Embeddings;SQL;HDFS;Graphs,C++;SQL;TensorFlow,Java,Logic,Analyze,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,5,Advanced CNN,Core,CNN;Arrays;SQL,Python,Python,Basic Math,Apply,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,7,Foundations of Deployment,Core,Deployment;Data Pipelines;Arrays,Spark;Python,Python,Probability,Analyze,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2023-2024,5,Foundations of SQL,Core,SQL;Transformers;Normalization;Neural Networks;Classification;EDA,OpenCV;Git,Python,Basic Math,Analyze,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,5,Applied Data Pipelines,Core,Data Pipelines;Graphs;Tokenization;Trees;RNN,OpenCV;TensorFlow,C++,Logic,Apply,3,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,7,Introduction to Data Pipelines,Core,Data Pipelines;Dynamic Programming;Visualization;Arrays;HDFS,Scikit-learn;Spark,Python,Basic Math,Apply,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2023-2024,4,Advanced Data Pipelines,Elective,Data Pipelines;Transformers;Embeddings;CNN;Regression;Image Processing,Scikit-learn,Python,Logic,Apply,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,2,Applied Transformers,Elective,Transformers;Clustering;Visualization;CNN,HuggingFace;TensorFlow,C++,Statistics,Understand,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,2,Advanced Classification,Elective,Classification;Embeddings;Graphs;Data Pipelines;SQL;Visualization,PyTorch;C++,Java,Logic,Create,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2020-2021,3,Foundations of Tokenization,Elective,Tokenization;RNN;HDFS,TensorFlow,Java,Linear Algebra,Apply,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2024-2025,3,Foundations of Deployment,Core,Deployment;Trees;Dynamic Programming;Spark;Indexing;HDFS,PyTorch;Docker,Python,Probability,Understand,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,4,Advanced Data Pipelines,Core,Data Pipelines;Arrays;HDFS,SQL;Spark;NLTK,Java,Logic,Analyze,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,1,Introduction to CNN,Elective,CNN;Normalization;Visualization;Embeddings;Spark,TensorFlow;PyTorch;OpenCV,C++,Linear Algebra,Create,3,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,4,Foundations of Classification,Elective,Classification;Visualization;Arrays;Cloud Computing,Python;Java;TensorFlow,Python,Basic Math,Analyze,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,1,Introduction to Data Pipelines,Elective,Data Pipelines;Graphs;HDFS,C++,Java,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,3,Applied EDA,Core,EDA;Data Pipelines;HDFS;Arrays,PyTorch;OpenCV,Java,Discrete Math,Understand,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,2,Foundations of Classification,Elective,Classification;Spark;Deployment;Neural Networks;Embeddings;EDA,NLTK;PyTorch,C++,Basic Math,Create,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2019-2020,1,Foundations of Data Pipelines,Core,Data Pipelines;Trees;Graphs,OpenCV;Docker;Python,Python,Probability,Apply,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2020-2021,5,Foundations of Linked Lists,Core,Linked Lists;Graphs;Regression;Deployment;CNN;Transformers,TensorFlow;PyTorch;NLTK,C++,Basic Math,Apply,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,8,Applied Visualization,Elective,Visualization;Trees;Transformers;RNN;Regression,PyTorch,Python,Statistics,Create,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,3,Introduction to Dynamic Programming,Elective,Dynamic Programming;EDA;Visualization,Pandas,Python,Basic Math,Create,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,7,Introduction to Spark,Core,Spark;Arrays;Data Pipelines;Visualization;Dynamic Programming,Spark;Docker,C++,Probability,Analyze,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2023-2024,4,Introduction to Embeddings,Core,Embeddings;EDA;Spark;Graphs;Indexing,NLTK;SQL;Docker,Python,Logic,Understand,3,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,3,Introduction to Tokenization,Elective,Tokenization;Regression;Trees;Deployment;RNN;Clustering,Scikit-learn;C++,C++,Discrete Math,Create,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,8,Foundations of Tokenization,Core,Tokenization;Normalization;RNN,Docker,Java,Statistics,Understand,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2022-2023,1,Applied Spark,Elective,Spark;HDFS;CNN,Git;SQL;OpenCV,C++,Linear Algebra,Create,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2022-2023,8,Applied EDA,Elective,EDA;Normalization;Graphs;Deployment;Data Pipelines,C++,Python,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,3,Applied Graphs,Core,Graphs;Neural Networks;Spark;Classification;Data Pipelines;Deployment,SQL;Docker,Java,Discrete Math,Understand,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,3,Advanced Arrays,Core,Arrays;Embeddings;Linked Lists;Image Processing;Indexing;Cloud Computing,Spark;Git,C++,Statistics,Analyze,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,7,Applied Neural Networks,Elective,Neural Networks;SQL;RNN;CNN,HuggingFace;Python,Python,Basic Math,Apply,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,5,Foundations of Data Pipelines,Elective,Data Pipelines;Dynamic Programming;EDA;HDFS;Regression,Git;NLTK;OpenCV,Python,Statistics,Create,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,5,Applied Arrays,Core,Arrays;Embeddings;Graphs;Deployment;SQL;Dynamic Programming,OpenCV,Java,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,1,Advanced Classification,Elective,Classification;Deployment;Image Processing;Linked Lists;Transformers,Java;AWS,C++,Logic,Analyze,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2023-2024,1,Introduction to SQL,Core,SQL;Indexing;Data Pipelines;RNN;Image Processing;Linked Lists,NLTK,Python,Basic Math,Analyze,6,No,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,4,Foundations of CNN,Elective,CNN;Normalization;Regression;Data Pipelines,Python,Python,Discrete Math,Create,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,5,Advanced Regression,Elective,Regression;Cloud Computing;Neural Networks;Arrays,Docker;NLTK,Python,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,6,Advanced EDA,Elective,EDA;RNN;Embeddings,Python,Python,Logic,Create,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2020-2021,4,Introduction to Data Pipelines,Core,Data Pipelines;RNN;Transformers;CNN,HuggingFace,C++,Basic Math,Analyze,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,4,Applied Data Pipelines,Core,Data Pipelines;RNN;SQL,PyTorch,Python,Probability,Create,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,5,Foundations of RNN,Core,RNN;Embeddings;Trees;Graphs,HuggingFace,C++,Basic Math,Apply,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2021-2022,2,Advanced Image Processing,Core,Image Processing;EDA;Visualization;Deployment,OpenCV;Pandas,Java,Basic Math,Analyze,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,2,Introduction to Regression,Elective,Regression;Neural Networks;Image Processing,AWS,Java,Basic Math,Create,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2020-2021,1,Foundations of Data Pipelines,Core,Data Pipelines;Graphs;Image Processing;Arrays;HDFS;Spark,HuggingFace,Java,Logic,Understand,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,5,Introduction to CNN,Core,CNN;Deployment;Normalization,PyTorch;Pandas,Python,Linear Algebra,Apply,6,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2021-2022,5,Foundations of CNN,Core,CNN;Data Pipelines;Visualization;HDFS,C++;Git,C++,Logic,Create,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,2,Applied Classification,Core,Classification;Visualization;Transformers;Indexing;HDFS,Python;Spark;Pandas,Python,Discrete Math,Apply,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2024-2025,1,Introduction to HDFS,Elective,HDFS;Image Processing;Trees;CNN;EDA;Neural Networks,SQL,Java,Linear Algebra,Apply,3,No,job_reverse_mapping,True
IIT,DS,B.Tech,2020-2021,2,Applied RNN,Elective,RNN;Tokenization;Normalization;Spark,Scikit-learn;NLTK;AWS,Java,Linear Algebra,Understand,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,4,Foundations of Neural Networks,Core,Neural Networks;Transformers;Dynamic Programming;Data Pipelines;RNN;Tokenization,Docker;TensorFlow,Python,Logic,Understand,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,3,Introduction to Neural Networks,Core,Neural Networks;Visualization;HDFS;Trees,Java;C++;Git,C++,Logic,Analyze,6,No,job_reverse_mapping,True
IIT,AI,B.Tech,2022-2023,8,Foundations of Transformers,Elective,Transformers;SQL;Clustering;Deployment,NLTK;Pandas;Scikit-learn,Java,Logic,Understand,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,3,Applied Normalization,Core,Normalization;Regression;Cloud Computing;Data Pipelines,NLTK,C++,Statistics,Apply,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,6,Foundations of Linked Lists,Elective,Linked Lists;Data Pipelines;Classification;Embeddings,PyTorch;Docker,C++,Basic Math,Analyze,6,Yes,job_reverse_mapping,True
